ID,TYPE,MATERIAL,OWNER,POINT,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)"
481794,Home plate,Plastic,Parks,POINT (-113.50229760217569 53.484488837345275),26,19,6,5,2
,Basketball Net,Unknown,Unknown,POINT (-113.52716700915238 53.609697866646286),170,225,1,1,5
530531,Home plate,Plastic,Parks,POINT (-113.3476354421868 53.5026874869719),294,39,7,5,3
440779,Home plate,Plastic,Parks,POINT (-113.44987738086921 53.44363223600559),73,34,9,7,3
817771,Home plate,Plastic,Parks,POINT (-113.55926125602997 53.44349383965545),331,89,8,6,12
498329,Home plate,Plastic,Parks,POINT (-113.3903398004038 53.5613790866995),232,176,4,3,10
528750,Home plate,Plastic,Parks,POINT (-113.6442022205273 53.53194499837501),132,159,3,4,1
31646,Basketball Net,Metal,Parks,POINT (-113.426052143503 53.46814456361877),21,57,7,7,3
507798,Basketball Net,Plastic,School Board,POINT (-113.53440809063797 53.477687481794966),110,13,6,6,2
481865,Home plate,Plastic,Parks,POINT (-113.38213171553465 53.592192183106015),396,199,2,3,7
345797,Home plate,Plastic,Parks,POINT (-113.50549950906222 53.47785037165893),142,20,6,6,2
441194,Funnel ball,Plastic,Parks,POINT (-113.45134370481198 53.46910652964995),40,239,7,7,3
422045,Home plate,Plastic,Parks,POINT (-113.4901680088342 53.5740026541638),42,155,4,3,10
364299,Basketball Net,Metal,Parks,POINT (-113.48782741453276 53.63447824655799),299,190,1,2,6
462617,Net Post,Metal,Parks,POINT (-113.55918552139343 53.56125817810265),19,209,3,1,5
518019,Pitching Board,Plastic,Parks,POINT (-113.62501331443579 53.508441631672746),60,97,5,4,8
495009,Frisbee Golf,Metal,Parks,POINT (-113.38795687001759 53.557144257334016),195,176,4,3,10
518894,Home plate,Plastic,Parks,POINT (-113.43890068083789 53.42724094972382),213,21,9,7,4
31632,Tetherball Pole,Metal,School Board,POINT (-113.44062201150021 53.448632926145635),117,34,9,7,3
31681,Basketball Net,Metal,Parks,POINT (-113.45920264673411 53.547322685592256),289,1,4,5,11
597491,Home plate,Plastic,School Board,POINT (-113.57438854673757 53.474053097231035),194,160,6,6,12
581763,Chess Table,Metal,Parks,POINT (-113.47652717989905 53.5516265231315),154,153,4,5,9
31582,Basketball Net,Metal,Parks,POINT (-113.59700328472205 53.52564537091503),27,99,5,4,1
498017,Net Post,Metal,Community League,POINT (-113.53163464695675 53.48497313550067),148,197,6,5,2
480876,Basketball Net,Metal,Community League,POINT (-113.55711142326456 53.54683153639412),139,196,3,5,9
551031,Basketball Net,Metal,Parks,POINT (-113.4847625713895 53.506866171986736),272,67,7,5,3
31783,Frisbee Golf,Metal,Parks,POINT (-113.38960676715065 53.55598966934246),195,176,4,3,10
342379,Home plate,Plastic,Parks,POINT (-113.50715650258479 53.622414842997586),191,236,1,2,6
470847,Home plate,Plastic,Parks,POINT (-113.52230152762019 53.45132657977851),107,171,8,6,2
532423,Basketball Net,Metal,Parks,POINT (-113.43842864994272 53.53201522716177),23,123,7,5,11
31648,Basketball Net,Metal,Parks,POINT (-113.42616102489224 53.46833197965707),21,57,7,7,3
428156,Home plate,Plastic,Parks,POINT (-113.54575911099286 53.61058599795739),189,216,1,1,5
,Pitching Board,Plastic,Unknown,POINT (-113.50846561107163 53.48566292054692),26,19,6,5,2
477519,Home plate,Plastic,Parks,POINT (-113.42140584703827 53.55992207573534),394,31,4,5,11
518644,Basketball Net,Metal,School Board,POINT (-113.42436755960178 53.551687443573286),41,31,4,5,11
532071,Net Post,Metal,Parks,POINT (-113.52331577163326 53.48097283538006),110,13,6,6,2
523127,Home plate,Plastic,Parks,POINT (-113.48201240821727 53.60984175238614),1,162,1,2,6
452099,Net Post,Metal,Parks,POINT (-113.45471509367171 53.47446909387402),225,240,7,7,3
550979,Basketball Net,Unknown,Parks,POINT (-113.54469440008778 53.487273541697625),263,185,6,5,2
433045,Basketball Net,Metal,Parks,POINT (-113.56647360691727 53.515785909638275),172,23,5,5,8
524048,Net Post,Metal,Parks,POINT (-113.47347434693333 53.59427493605517),12,157,1,2,10
429492,Basketball Net,Metal,Parks,POINT (-113.44929704465898 53.44657368852684),117,34,9,7,3
344470,Home plate,Plastic,Parks,POINT (-113.46531280428907 53.503829300520586),157,67,7,5,3
760437,Mileage Marker,Metal,Citizen Services,POINT (-113.46540283289173 53.55308597160525),289,1,4,5,11
723600,Home plate,Wood,Parks,POINT (-113.38493858428775 53.55759085150075),195,176,4,3,10
,Home plate,Plastic,Unknown,POINT (-113.56602078551184 53.5155533403477),172,23,5,5,8
474522,Skateboard Fixture,Metal,Parks,POINT (-113.45785175286369 53.42882489757925),128,28,9,7,4
480872,Basketball Net,Metal,Community League,POINT (-113.5567951216689 53.54764485591817),139,196,3,5,9
750582,Net Post,Metal,Community League,POINT (-113.60396705386796 53.50621239214586),221,179,5,4,8
439321,Basketball Net,Metal,Parks,POINT (-113.40424378951842 53.44712600812418),250,7,9,7,4
434709,Basketball Net,Metal,Parks,POINT (-113.44640509757369 53.479696721387626),58,240,7,7,3
31942,Basketball Net,Metal,Parks,POINT (-113.5045766943103 53.63246319122417),248,140,1,2,6
433040,Net Post,Plastic,Community League,POINT (-113.57009003617215 53.51657042908327),172,23,5,5,8
413290,Home plate,Plastic,Parks,POINT (-113.46708376709567 53.56848256975808),147,150,4,3,10
31751,Frisbee Golf,Metal,Parks,POINT (-113.39415765897971 53.55404492444381),195,176,4,3,10
340473,Home plate,Plastic,Parks,POINT (-113.54654537650218 53.56130059771299),104,48,3,1,5
31848,Basketball Net,Metal,Parks,POINT (-113.52349589095255 53.48068460848191),110,13,6,6,2
32012,Basketball Net,Metal,Parks,POINT (-113.5139140027388 53.59258054976618),37,224,1,2,5
422040,Basketball Net,Metal,Parks,POINT (-113.48848748339586 53.56486190374748),42,150,4,3,10
31778,Basketball Net,Wood,Parks,POINT (-113.40683874885038 53.57392067646783),33,177,4,3,10
532081,Net Post,Metal,Parks,POINT (-113.52308087490182 53.48130514396752),110,13,6,6,2
529575,Home plate,Plastic,Parks,POINT (-113.64460517629021 53.50615244702379),135,97,5,4,8
422214,Home plate,Plastic,Parks,POINT (-113.55450809498764 53.59118025687474),62,105,1,1,5
31951,Basketball Net,Metal,Parks,POINT (-113.50460575093489 53.464860094694764),274,173,6,6,2
31593,Basketball Net,Metal,Parks,POINT (-113.52478979278828 53.45878054373656),140,171,6,6,2
437494,Basketball Net,Plastic,Parks,POINT (-113.44379105205688 53.4557288901946),55,238,9,7,3
452174,Net Post,Metal,Community League,POINT (-113.64634086629712 53.48007006579826),397,44,5,4,8
339144,Home plate,Plastic,Parks,POINT (-113.60053037263278 53.53683026762112),31,186,5,1,1
31800,Basketball Net,Wood,Parks,POINT (-113.43374907056882 53.601786175866344),24,181,2,3,7
344728,Home plate,Plastic,Parks,POINT (-113.41564020017684 53.61398092109269),83,189,2,3,7
345480,Home plate,Plastic,Parks,POINT (-113.51166805241223 53.56177345882952),3,220,3,1,5
498021,Basketball Net,Wood,Parks,POINT (-113.53005830686375 53.484787249539146),148,197,6,5,2
471359,Basketball Net,Metal,Parks,POINT (-113.48050671896276 53.63560658382934),299,190,1,2,6
495017,Net Post,Metal,Parks,POINT (-113.38694762346677 53.553491246374364),195,176,4,3,10
422333,Basketball Net,Metal,Parks,POINT (-113.51358583805553 53.419569912252264),126,100,8,6,2
31761,Frisbee Golf,Metal,Parks,POINT (-113.392852603583 53.55472210056803),195,176,4,3,10
484391,Funnel ball,Plastic,Parks,POINT (-113.56786779607609 53.54586811537937),29,196,3,1,9
540102,Net Post,Metal,Parks,POINT (-113.60417920895334 53.52851039809809),92,93,5,4,1
